County,CountyFIPS,Age Group (5-year),Age Sorting Variable,Sex,Total Population 2020,Total Population 2021,Total Population 2022,Total Population 2023,Total Population 2024,Total Population 2025
Adams,1,0-4,1,Female,898.3059139,877.6027415,875.4138511,864.1322262,850.6823322,837.99
Adams,1,0-4,1,Male,938.3195363,880.8697956,867.7871094,843.8927373,834.3645267,842.26
Adams,1,9-May,2,Female,931.317156,904.9358151,896.8090346,890.1475989,890.0113928,888.05
Adams,1,9-May,2,Male,1051.36,1017.82,997.043021,970.7757515,928.6673338,896.54
Adams,1,14-Oct,3,Male,1042.35,1064.86,1068.38,1075.31,1078.19,1052.17
Adams,1,14-Oct,3,Female,978.3331654,995.6040674,992.3844009,995.466058,988.0427001,967.79
Adams,1,15-19,4,Female,845.2878604,871.2366654,879.4120553,906.6838917,944.1639746,957.84
Adams,1,15-19,4,Male,947.3226096,969.4831512,973.4536241,988.5940314,1026.79,1038.76
Adams,1,20-24,5,Female,634.2159799,679.5754938,647.8518309,663.9889653,700.3085373,717.46
Adams,1,20-24,5,Male,703.2394867,731.443648,701.5027304,724.0771278,748.311926,770.72
Adams,1,25-29,6,Female,657.2238221,631.9080631,615.6254095,588.6822317,610.4083182,645.87
Adams,1,25-29,6,Male,772.2629945,770.8403049,749.1075115,738.1908661,739.8436902,761.41
Adams,1,30-34,7,Male,684.2330197,739.4494444,780.6482273,794.0163747,822.2636953,835.24
Adams,1,30-34,7,Female,706.2405087,699.4095725,692.3675287,679.7483994,663.778248,645
Adams,1,35-39,8,Male,607.206789,658.8589071,692.876955,706.7960077,732.9363091,758.62
Adams,1,35-39,8,Female,619.2108769,633.1217208,641.5513169,649.6014875,662.9270172,663.67
Adams,1,45-49,10,Male,487.1659155,542.3182563,607.0618367,645.8649924,679.4009096,686.54
Adams,1,45-49,10,Female,549.1870323,561.1173501,583.485811,606.8712977,620.8182435,619.65
Adams,1,50-54,11,Male,531.1809032,527.5149387,536.4868133,536.1521122,550.1766729,539
Adams,1,50-54,11,Female,492.1676141,491.3459551,505.9733455,504.1034064,503.8629116,514.96
Adams,1,55-59,12,Female,473.1611525,473.1849675,499.2863378,499.5355344,501.254712,478.4
Adams,1,55-59,12,Male,481.1638757,492.7182038,507.0090727,512.4861155,510.6750587,519.27
Adams,1,60-64,13,Female,484.1649022,477.9623472,479.5396397,473.6243374,470.3695475,472.4
Adams,1,60-64,13,Male,461.1570672,455.1938929,464.2674249,466.3263642,479.5174276,478.3
Adams,1,65-69,14,Female,408.1390128,420.265096,429.9311956,433.9545076,448.9476838,440.47
Adams,1,65-69,14,Male,455.1550257,455.6860356,453.257167,451.3126247,442.0191273,431.72
Adams,1,70-74,15,Female,309.1052835,317.4723538,334.4608082,347.9690556,358.1603149,367.72
Adams,1,70-74,15,Male,285.0971062,306.4495517,332.4564058,351.1205762,370.4211496,383.72
Adams,1,75-79,16,Female,210.0715534,219.3053338,235.1559322,247.3266501,256.4476938,259.86
Adams,1,75-79,16,Male,206.0701906,214.3644654,223.0211393,228.7827187,234.5495116,227.03
Adams,1,80-84,17,Female,135.0459986,139.8291895,146.9522428,150.2940113,156.3287061,163.33
Adams,1,80-84,17,Male,124.0422523,129.8027657,135.2682685,138.8356366,140.4152337,152.25
Adams,1,40-44,18,Male,643.2190584,671.8797079,671.6318897,665.7242506,661.7741537,663.17
Adams,1,85+,18,Female,139.0473618,140.9710004,144.3034974,143.8046452,149.7814329,148.84
Adams,1,40-44,18,Female,635.2163236,639.898713,638.0360938,615.4795123,610.8562259,615.32
Adams,1,85+,18,Male,87.02964351,95.70084176,100.1978969,100.3289183,107.530137,108.64
Asotin,3,0-4,1,Male,578.0778207,558.9155149,569.3612411,554.7672816,560.0947769,539.04
Asotin,3,0-4,1,Female,537.0723005,526.2370277,528.6406844,523.8389883,512.1110385,500.9
Asotin,3,9-May,2,Male,638.0858989,626.905249,624.6785366,616.0372551,612.6625937,605.93
Asotin,3,9-May,2,Female,644.0867068,626.4523845,614.5233156,593.1704225,574.6795528,564.29
Asotin,3,14-Oct,3,Male,675.0908805,665.9295051,663.3143685,661.1841184,658.1054034,667.05
Asotin,3,14-Oct,3,Female,660.088861,651.4593446,659.2990272,665.2022826,665.0128298,664.93
Asotin,3,15-19,4,Female,693.093304,697.19563,671.4360017,663.3275817,654.6699055,650.34
Asotin,3,15-19,4,Male,680.0915537,687.3056018,677.7177469,675.0411081,665.8100299,663.98
Asotin,3,20-24,5,Male,557.0749933,585.0130617,559.9260969,573.5768769,582.4952651,602.98
Asotin,3,20-24,5,Female,557.0749933,597.7554927,572.3576711,592.8269797,617.7828576,641.73
Asotin,3,25-29,6,Female,617.0830715,601.0862128,571.6745347,553.4993842,554.7747852,560.94
Asotin,3,25-29,6,Male,607.0817252,574.5143133,560.5669787,550.6909266,556.372585,573.11
Asotin,3,30-34,7,Female,580.0780899,592.2181124,604.6138129,602.8049634,597.3719546,609.41
Asotin,3,30-34,7,Male,599.0806481,608.3103864,607.4738885,600.981539,584.0256682,581.94
Asotin,3,35-39,8,Male,606.0815905,622.9127456,625.2859336,620.8713125,618.0809024,598.06
Asotin,3,35-39,8,Female,667.0898034,673.3003969,670.5528153,634.1642764,609.2217767,592.56
Asotin,3,45-49,10,Male,583.0784939,586.5726705,586.1698724,592.1884861,595.1708856,594.23
Asotin,3,45-49,10,Female,602.081052,601.927184,614.4745257,629.3159287,634.8637055,626.41
Asotin,3,50-54,11,Male,617.0830715,610.4019415,617.9732676,618.1258953,612.0107612,601.46
Asotin,3,50-54,11,Female,656.0883224,645.3815439,649.4369705,653.8605341,640.5240719,630.22
Asotin,3,55-59,12,Female,870.1171349,834.9871087,797.0324452,751.5460329,728.6386379,700.39
Asotin,3,55-59,12,Male,758.1020555,740.0844706,711.7679556,680.6755316,665.2627836,634.34
Asotin,3,60-64,13,Male,814.1095952,814.4721868,815.5662761,800.7348165,790.8706688,776.24
Asotin,3,60-64,13,Female,945.1272327,975.6413059,978.0865068,962.8434818,944.5401727,911.49
Asotin,3,65-69,14,Female,805.1083834,838.305919,888.7091951,936.8546445,980.6507557,1000.41
Asotin,3,65-69,14,Male,804.1082488,840.8226497,851.3021868,866.9102137,868.2929344,842.71
Asotin,3,70-74,15,Male,643.0865721,665.115553,706.1430908,733.4985805,767.9275678,796.82
Asotin,3,70-74,15,Female,756.1017862,758.8186618,766.5119709,765.8446249,769.1877763,791.05
Asotin,3,75-79,16,Male,523.0704156,545.293425,560.7369591,571.6383331,574.3083254,584.17
Asotin,3,75-79,16,Female,537.0723005,571.9132389,611.3955186,641.3903114,671.2253916,691.06
Asotin,3,80-84,17,Male,331.0445651,354.9630394,375.3361631,394.7048839,419.3885829,436.73
Asotin,3,80-84,17,Female,344.0463154,359.8031001,382.4635951,408.3963371,435.8385355,462.49
Asotin,3,40-44,18,Male,576.0775514,584.0038598,594.0200522,606.3688012,606.5424027,605.86
Asotin,3,85+,18,Female,373.0502199,378.6364696,384.8903201,394.2456724,403.445859,420.81
Asotin,3,40-44,18,Female,594.0799749,622.7837566,640.3052253,660.9143315,677.0452176,695.41
Asotin,3,85+,18,Male,256.0344673,274.5609359,286.2552493,297.9572622,315.9930388,330.49
Benton,5,0-4,1,Male,6892,6768.31,6755.94,6650.2,6591.04,6552.19
Benton,5,0-4,1,Female,6606,6420.6,6487.27,6416.45,6322.45,6274.89
Benton,5,9-May,2,Female,7453,7305.58,7255.9,7163.91,7067.67,6991.2
Benton,5,9-May,2,Male,7894,7718.97,7640.74,7518.75,7392.33,7294.39
Benton,5,14-Oct,3,Female,7865,7986.54,8157.12,8277.56,8232.75,8024.9
Benton,5,14-Oct,3,Male,8306,8457.63,8673.44,8804.25,8749.38,8515.06
Benton,5,15-19,4,Female,7123,7424.92,7556.51,7844.85,8120.09,8325.03
Benton,5,15-19,4,Male,7437,7725.56,7959.29,8252.44,8579.8,8840.11
Benton,5,20-24,5,Male,6274,6506.44,6295.41,6494.67,6624.44,6807.82
Benton,5,20-24,5,Female,5939,6252.02,6096.76,6315.44,6577.77,6783.54
Benton,5,25-29,6,Female,6698,6483.67,6362.55,6285.13,6309.72,6518.05
Benton,5,25-29,6,Male,6782,6623.72,6585.44,6656.29,6723.31,6930.64
Benton,5,30-34,7,Male,7138,7320.44,7418.69,7514.44,7537.62,7451.15
Benton,5,30-34,7,Female,7065,7216.89,7369.34,7445.44,7469.39,7292.36
Benton,5,35-39,8,Male,7187,7439.39,7640.08,7731.25,7755.43,7776.08
Benton,5,35-39,8,Female,7210,7400.35,7520.47,7639.72,7605.11,7610.18
Benton,5,45-49,10,Male,5583,5672.08,5920.12,6191.75,6450.51,6581.53
Benton,5,45-49,10,Female,5804,5767.06,5905.1,6111.39,6320.97,6536.99
Benton,5,50-54,11,Male,5661,5659.57,5735.3,5789.69,5747.09,5695.1
Benton,5,50-54,11,Female,5831,5861.33,5926.75,5913.1,5867.17,5874.19
Benton,5,55-59,12,Male,6143,5984.1,5850.3,5716.77,5589.99,5599.66
Benton,5,55-59,12,Female,6368,6229.87,6110.7,6015.99,5907.91,5802.92
Benton,5,60-64,13,Female,6329,6316.13,6387.85,6359.95,6310.53,6266.96
Benton,5,60-64,13,Male,6059,5987.29,5989.51,5932.08,5923.9,5884.35
Benton,5,65-69,14,Male,5408,5454.06,5530.47,5613.19,5637,5641.22
Benton,5,65-69,14,Female,5712,5833.04,5981.67,6088.25,6170.54,6173.3
Benton,5,70-74,15,Female,4448,4657.64,4882.79,5102,5281.76,5439.21
Benton,5,70-74,15,Male,4220,4378.5,4561.67,4706.16,4806.25,4902.51
Benton,5,75-79,16,Female,3002,3166.97,3393.16,3622.94,3826.78,4034.55
Benton,5,75-79,16,Male,2650,2821.72,3034.61,3216.95,3450.81,3619.38
Benton,5,80-84,17,Male,1594,1680.71,1763.36,1874.48,1971.99,2087.43
Benton,5,80-84,17,Female,2016,2087.19,2174.33,2269.94,2406.77,2530.76
Benton,5,85+,18,Male,1287,1304.36,1329.65,1368,1433.19,1514.99
Benton,5,85+,18,Female,2193,2193.59,2195.37,2224.36,2286.41,2357.78
